Product,Product Type,Arrival Time,Production Days,Deadline
Product201,Type B,39,10,147
Product202,Type A,39,5,132
Product203,Type B,40,11,153
Product204,Type A,40,18,174
Product205,Type B,40,15,165
Product206,Type C,41,10,153
Product207,Type A,41,8,147
Product208,Type A,41,13,162
Product209,Type B,42,10,156
Product210,Type A,42,7,147
Product211,Type C,42,17,177
Product212,Type B,42,13,165
Product213,Type A,42,7,147
Product214,Type A,42,20,186
Product215,Type B,42,5,141
Product216,Type C,42,19,183
Product217,Type C,43,16,177
Product218,Type A,43,17,180
Product219,Type B,43,19,186
Product220,Type C,44,16,180
Product221,Type C,44,9,159
Product222,Type A,44,18,186
Product223,Type A,44,20,192
Product224,Type A,44,19,189
Product225,Type C,45,14,177
Product226,Type B,45,18,189
Product227,Type B,45,18,189
Product228,Type B,46,18,192
Product229,Type A,46,14,180
Product230,Type B,46,12,174
Product231,Type A,46,12,174
Product232,Type C,46,14,180
Product233,Type B,46,17,189
Product234,Type C,47,7,162
Product235,Type A,47,13,180
Product236,Type A,47,7,162
Product237,Type C,48,17,195
Product238,Type A,48,18,198
Product239,Type B,48,5,159
Product240,Type A,49,12,183
Product241,Type C,49,20,207
Product242,Type A,49,12,183
Product243,Type B,50,15,195
Product244,Type C,50,18,204
Product245,Type C,50,13,189
Product246,Type B,50,8,174
Product247,Type C,51,13,192
Product248,Type A,51,10,183
Product249,Type A,51,17,204
Product250,Type A,51,8,177
