Product,Product Type,Arrival Time,Production Days,Deadline
Product151,Type B,30,13,129
Product152,Type A,31,18,147
Product153,Type C,31,15,138
Product154,Type C,32,8,120
Product155,Type C,32,18,150
Product156,Type A,32,7,117
Product157,Type C,32,10,126
Product158,Type A,33,10,129
Product159,Type B,33,7,120
Product160,Type C,33,12,135
Product161,Type A,33,5,114
Product162,Type B,33,16,147
Product163,Type D,34,18,156
Product164,Type A,34,14,144
Product165,Type D,34,7,123
Product166,Type A,34,19,159
Product167,Type A,34,13,141
Product168,Type D,34,12,138
Product169,Type C,34,9,129
Product170,Type A,34,7,123
Product171,Type D,35,10,135
Product172,Type B,35,18,159
Product173,Type D,35,14,147
Product174,Type D,35,18,159
Product175,Type A,35,7,126
Product176,Type A,35,6,123
Product177,Type C,35,19,162
Product178,Type C,35,14,147
Product179,Type B,35,5,120
Product180,Type D,35,13,144
Product181,Type C,36,5,123
Product182,Type D,36,13,147
Product183,Type C,36,8,132
Product184,Type C,36,16,156
Product185,Type C,37,9,138
Product186,Type B,37,7,132
Product187,Type A,37,5,126
Product188,Type A,37,7,132
Product189,Type D,37,11,144
Product190,Type D,37,14,153
Product191,Type D,37,10,141
Product192,Type A,37,18,165
Product193,Type A,37,17,162
Product194,Type C,37,15,156
Product195,Type A,37,15,156
Product196,Type B,38,9,141
Product197,Type B,38,10,144
Product198,Type A,39,16,165
Product199,Type C,39,13,156
Product200,Type A,39,13,156
