Product,Product Type,Arrival Time,Production Days,Deadline
Product51,Type A,11,6,51
Product52,Type B,11,14,75
Product53,Type B,11,13,72
Product54,Type B,12,9,63
Product55,Type B,12,13,75
Product56,Type A,12,16,84
Product57,Type D,12,12,72
Product58,Type C,12,15,81
Product59,Type A,13,19,96
Product60,Type B,13,6,57
Product61,Type C,13,18,93
Product62,Type A,13,12,75
Product63,Type A,13,14,81
Product64,Type C,13,10,69
Product65,Type C,13,14,81
Product66,Type C,13,8,63
Product67,Type A,14,6,60
Product68,Type C,14,18,96
Product69,Type D,14,6,60
Product70,Type A,15,16,93
Product71,Type D,15,19,102
Product72,Type B,15,15,90
Product73,Type B,15,6,63
Product74,Type B,15,18,99
Product75,Type B,16,7,69
Product76,Type A,16,18,102
Product77,Type C,17,9,78
Product78,Type D,17,5,66
Product79,Type A,18,12,90
Product80,Type C,18,10,84
Product81,Type C,18,13,93
Product82,Type D,18,6,72
Product83,Type B,18,18,108
Product84,Type D,18,14,96
Product85,Type B,18,9,81
Product86,Type C,18,18,108
Product87,Type B,18,16,102
Product88,Type D,19,18,111
Product89,Type A,19,19,114
Product90,Type A,19,10,87
Product91,Type B,19,16,105
Product92,Type D,19,15,102
Product93,Type C,19,17,108
Product94,Type D,19,7,78
Product95,Type C,19,19,114
Product96,Type C,19,14,99
Product97,Type D,19,7,78
Product98,Type A,20,18,114
Product99,Type A,20,15,105
Product100,Type A,20,8,84
