Product,Product Type,Arrival Time,Production Days,Deadline
Product101,Type D,20,7,81
Product102,Type B,20,19,117
Product103,Type C,20,6,78
Product104,Type D,20,6,78
Product105,Type C,20,10,90
Product106,Type C,21,12,99
Product107,Type C,21,17,114
Product108,Type C,21,7,84
Product109,Type A,21,11,96
Product110,Type B,22,6,84
Product111,Type B,22,14,108
Product112,Type D,22,5,81
Product113,Type B,22,9,93
Product114,Type D,22,7,87
Product115,Type A,22,13,105
Product116,Type B,23,11,102
Product117,Type B,23,13,108
Product118,Type D,23,6,87
Product119,Type C,23,16,117
Product120,Type D,23,14,111
Product121,Type B,24,13,111
Product122,Type C,24,13,111
Product123,Type C,24,7,93
Product124,Type C,24,11,105
Product125,Type C,24,9,99
Product126,Type A,24,16,120
Product127,Type D,25,17,126
Product128,Type A,25,5,90
Product129,Type C,25,7,96
Product130,Type A,25,19,132
Product131,Type D,25,7,96
Product132,Type C,25,5,90
Product133,Type C,25,12,111
Product134,Type D,25,10,105
Product135,Type D,26,17,129
Product136,Type D,26,8,102
Product137,Type B,26,6,96
Product138,Type A,26,19,135
Product139,Type B,26,19,135
Product140,Type D,27,8,105
Product141,Type A,27,17,132
Product142,Type C,27,13,120
Product143,Type D,27,8,105
Product144,Type B,27,15,126
Product145,Type A,28,12,120
Product146,Type C,29,13,126
Product147,Type B,29,16,135
Product148,Type D,29,11,120
Product149,Type C,30,18,144
Product150,Type B,30,13,129
